"Name","playerid","WAR21","WAR22","WAR23","WAR24","WAR25","WAR26","WAR27","WAR28","WAR29","WAR30","WAR31","WAR32","WAR33","WAR34","WAR35","Cluster"
"Jim Clancy","1002255","0.5","3","0.4","3.2","0.4","4.3","2.8","1.8","1.6","3.1","5","1.8","0.4","0.5","-0.2","B"
"Dennis Eckersley","1003660","4.6","4.6","3.9","4.4","2.9","3.2","3.1","0.8","3.2","4.3","3.7","3.4","2.3","1.7","3.2","A"
"Rick Wise","1014155","3.4","2","3.7","3.8","4.6","4.8","5.1","1","2.7","3.1","1.6","2.5","3.2","1.1","0.5","A"
"Doyle Alexander","1000122","1.1","0.8","0.6","1.2","1.3","1.7","1.4","1.2","2.9","1.6","-0.3","1","5","4","3.9","B"
"Bob Miller","1008877","1.2","0.3","0.7","2.7","1.1","0.4","0.3","-1","0.7","1.7","0","0.8","-0.3","-0.2","0.3","B"
"John Candelaria","1001909","2.6","2.5","2.9","2.7","2.2","4","0.4","3.7","4.5","3.3","1.8","3","2.4","3.4","0.3","A"
"Ray Sadecki","1011360","0.7","1.2","3.7","1.2","-0.3","4","4.6","0.7","1","3.2","0.4","1.3","0.8","0.6","-0.1","B"
"Rich Gossage","1004894","-0.8","0.7","4","2","4.2","2.4","1","3.2","1.4","3.6","3.5","1.5","2.6","0.7","1","B"
"Tom Glavine","     90","0","2","2","2.9","5.4","4.6","3.3","3.6","4.3","5.3","3.6","4.8","4.2","4.7","1.7","A"
"Greg Swindell","     76","0.9","1.4","6.3","3.3","2.7","5.9","4.6","2","1.2","1","-0.7","1.4","0","0.6","1.2","B"
"Greg Maddux","    104","1.5","3.7","3.7","5.1","5.8","7","7.5","7.4","7.9","7.8","8","7.5","5.6","7.2","6.3","C"
"Bob Welch","1013750","2.4","1","2.9","1.9","3.3","3.7","2.8","2.1","5.4","4.5","3","3","1.8","0.6","0.6","A"
"Arthur Rhodes","   1097","0.1","2","-0.4","0.5","0.2","1","1.9","1","-0.4","1.6","2.5","2.9","0.9","-0.6","1.2","B"
"Steve Carlton","1001964","0.9","4.4","4","4.9","3.6","3.1","11.1","4.5","5.3","3.5","5.1","5.1","2.8","4.3","8.8","C"
"Jim Kaat","1006660","-0.3","3.8","5.4","1.9","4.7","4.3","6.4","6.4","3.9","3.5","3.2","5.9","2.6","2.7","5.2","A"
"Mark Buehrle","    225","0.6","4","4.3","4.3","4.5","5.9","1.7","3.3","4.3","3","4","3.1","1.6","2.2","3.7","A"
"Don Sutton","1012745","4.7","3","4","3.9","1.9","7.1","6.8","6","4.7","5.4","3.3","3.8","2.7","3.7","3","A"
"Don Robinson","1011061","3.4","2.5","2.1","-0.5","1","0","2","0.8","0.5","1.5","2.7","1.7","1.3","0.5","0.6","B"
"CC Sabathia","    404","3.6","3.5","2.8","3.6","5","6.4","7.4","5.8","5.5","5.8","4","2.1","0","1.2","2.6","A"
"Jerry Reuss","1010853","2","1.4","2.8","4","2.5","4.6","2.9","3.9","1","2.9","4.6","2.5","5.5","4.8","1.2","A"
"Roger Clemens","    815","3.4","2.3","7.1","8.4","9.2","5.1","8.2","8.5","7.6","3.7","4.2","2.4","6.8","10.7","8.2","C"
"Frank Tanana","1012818","7.2","6","5.8","2.8","1.3","3.5","1.2","2.6","2.6","2.1","3.6","2.3","4.1","2.1","3.1","A"
"Jake Peavy","   1051","1.7","0.8","4.1","5.4","4.4","6.7","3.7","2.7","1.8","2.9","4.4","2","1.5","1.2","0.7","A"
"Nolan Ryan","1011348","0.6","1.7","1.1","0.6","5.4","8.7","6.8","2.4","5.3","6.6","5","5.1","4.5","3.8","3.5","A"
"Bruce Kison","1006978","1","1","0.2","0.9","1.7","3.2","2","1.5","3","0.6","-0.3","1.8","1.8","0.4","1","B"
